"Class"	"Field"	"Label"	"Tooltip"	"Source"	"SourceDetail"	"Confidence"
"CmAnnotation"	"Text"	"Text"	""	"slice"	"CellarParts.xml, bin class=CmAnnotation, part id=CmAnnotation-Detail-TextOnly"	"exact"
"CmAnnotationDefn"	""	"Annotation Definition"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=CmAnnotationDefn"	"class-only"
"CmAnthroItem"	""	"Anthropology Categories"	""	"tool-config"	"toolConfiguration.xml tool=anthroEdit + areaConfiguration.xml ownerClass=LangProject ownerField=AnthroList"	"ambiguous"
"CmAnthroItem"	""	"Anthropology Category"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=CmAnthroItem"	"ambiguous"
"CmAnthroItem"	"AbbreviationPub"	"Abbreviation"	""	"slice"	"LexSense.fwlayout, layout class=CmAnthroItem type=jtview name=publishStemAnthro | LexSense.fwlayout, layout class=CmAnthroItem type=jtview name=publishCdAnthro | LexSense.fwlayout, layout class=CmAnthroItem type=jtview name=publishStemMinorAnthro | LexSense.fwlayout, layout class=CmAnthroItem type=jtview name=publishRootAnthro | LexSense.fwlayout, layout class=CmAnthroItem type=jtview name=publishRootMinorAnthro | +5 more"	"exact"
"CmAnthroItem"	"NamePub"	"Name"	""	"slice"	"LexSense.fwlayout, layout class=CmAnthroItem type=jtview name=publishStemAnthro | LexSense.fwlayout, layout class=CmAnthroItem type=jtview name=publishCdAnthro | LexSense.fwlayout, layout class=CmAnthroItem type=jtview name=publishStemMinorAnthro | LexSense.fwlayout, layout class=CmAnthroItem type=jtview name=publishRootAnthro | LexSense.fwlayout, layout class=CmAnthroItem type=jtview name=publishRootMinorAnthro | +5 more"	"exact"
"CmAnthroItem"	"SubPossibilities"	"Subcategories"	""	"slice"	"CmPossibility.fwlayout, layout class=CmAnthroItem type=detail name=default"	"exact"
"CmAnthroItem"	"Summary"	"Subcategory"	""	"slice"	"CmPossibility.fwlayout, layout class=CmAnthroItem type=detail name=nested"	"exact"
"CmBaseAnnotation"	""	"Problem Report"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=CmBaseAnnotation"	"class-only"
"CmBaseAnnotation"	"BeginObject"	"Problem Object"	""	"slice"	"CellarParts.xml, bin class=CmBaseAnnotation, part id=CmBaseAnnotation-Detail-BeginObjectLink"	"exact"
"CmCustomItem"	""	"List Item"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=CmCustomItem"	"class-only"
"CmCustomItem"	"AbbreviationPub"	"Abbreviation"	""	"slice"	"Notebook.fwlayout, layout class=CmCustomItem type=jtview name=publishCustomVectorItem"	"exact"
"CmCustomItem"	"NamePub"	"Name"	""	"slice"	"Notebook.fwlayout, layout class=CmCustomItem type=jtview name=publishCustomVectorItem"	"exact"
"CmDomainQ"	""	"Question"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=CmDomainQ"	"class-only"
"CmDomainQ"	"ExampleSentences"	"Example Sentences"	""	"slice"	"CmPossibility.fwlayout, layout class=CmDomainQ type=detail name=RDE, ref=ExampleSentencesSummary resolved via Parts/*.xml | CmPossibilityParts.xml, bin class=CmDomainQ, part id=CmDomainQ-Detail-ExampleSentencesAllA"	"exact"
"CmDomainQ"	"ExampleWords"	"Example Words"	""	"slice"	"CmPossibility.fwlayout, layout class=CmDomainQ type=detail name=RDE, ref=ExampleWordsSummary resolved via Parts/*.xml | CmPossibilityParts.xml, bin class=CmDomainQ, part id=CmDomainQ-Detail-ExampleWordsAllA"	"exact"
"CmDomainQ"	"Question"	"Question"	""	"slice"	"CmPossibility.fwlayout, layout class=CmDomainQ type=detail name=RDE, ref=QuestionSummary resolved via Parts/*.xml | CmPossibilityParts.xml, bin class=CmDomainQ, part id=CmDomainQ-Detail-QuestionAllA"	"exact"
"CmFile"	"InternalPath"	"File"	""	"slice"	"LexSense.fwlayout, layout class=CmFile type=detail name=Normal, ref=FileName resolved via Parts/*.xml | LexSenseParts.xml, bin class=CmFile, part id=CmFile-Detail-FileName"	"exact"
"CmIndirectAnnotation"	"CommentPub"	"Translation"	""	"slice"	"Cellar.fwlayout, layout class=CmIndirectAnnotation type=jtview name=publicationNew"	"exact"
"CmIndirectAnnotation"	"TypePub"	"Type"	""	"slice"	"Cellar.fwlayout, layout class=CmIndirectAnnotation type=jtview name=publicationNew"	"exact"
"CmLocation"	""	"Location"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=CmLocation"	"ambiguous"
"CmLocation"	""	"Locations"	""	"tool-config"	"toolConfiguration.xml tool=locationsEdit + areaConfiguration.xml ownerClass=LangProject ownerField=Locations"	"ambiguous"
"CmLocation"	"AbbreviationPub"	"Abbreviation"	""	"slice"	"LexEntry.fwlayout, layout class=CmLocation type=jtview name=publishStemLocation | LexEntry.fwlayout, layout class=CmLocation type=jtview name=publishStemMinorLocation | LexEntry.fwlayout, layout class=CmLocation type=jtview name=publishRootLocation | LexEntry.fwlayout, layout class=CmLocation type=jtview name=publishRootMinorLocation | LexEntry.fwlayout, layout class=CmLocation type=jtview name=publishRootMinorSubLocation | +19 more"	"exact"
"CmLocation"	"Alias"	"Alias"	""	"slice"	"CmPossibilityParts.xml, bin class=CmLocation, part id=CmLocation-Detail-AliasAllA"	"exact"
"CmLocation"	"DescriptionAllA"	"Short Description"	""	"slice"	"CmPossibility.fwlayout, layout class=CmLocation type=detail name=default"	"exact"
"CmLocation"	"NameAllVA"	"Location Name"	""	"slice"	"CmPossibility.fwlayout, layout class=CmLocation type=detail name=default"	"exact"
"CmLocation"	"NamePub"	"Name"	""	"slice"	"LexEntry.fwlayout, layout class=CmLocation type=jtview name=publishStemLocation | LexEntry.fwlayout, layout class=CmLocation type=jtview name=publishStemMinorLocation | LexEntry.fwlayout, layout class=CmLocation type=jtview name=publishRootLocation | LexEntry.fwlayout, layout class=CmLocation type=jtview name=publishRootMinorLocation | LexEntry.fwlayout, layout class=CmLocation type=jtview name=publishRootMinorSubLocation | +19 more"	"exact"
"CmLocation"	"Researchers"	"Researchers"	""	"slice"	"CmPossibility.fwlayout, layout class=CmLocation type=detail name=default"	"exact"
"CmMedia"	"Label"	"Label"	""	"slice"	"LexEntryParts.xml, bin class=CmMedia, part id=CmMedia-Detail-Label"	"exact"
"CmMedia"	"MediaFile"	"Media File"	""	"slice"	"LexEntryParts.xml, bin class=CmMedia, part id=CmMedia-Detail-MediaFile"	"exact"
"CmPerson"	""	"People"	""	"tool-config"	"toolConfiguration.xml tool=peopleEdit + areaConfiguration.xml ownerClass=LangProject ownerField=People"	"ambiguous"
"CmPerson"	""	"Person"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=CmPerson | strings-en.xml, group=PossibilityListItemTypeNames, ownerField=People -> CmPerson"	"ambiguous"
"CmPerson"	"AbbreviationPub"	"Abbreviation"	""	"slice"	"Notebook.fwlayout, layout class=CmPerson type=jtview name=publishRnResearcher | Notebook.fwlayout, layout class=CmPerson type=jtview name=publishRnSource | Notebook.fwlayout, layout class=CmPerson type=jtview name=publishRnParticipant"	"exact"
"CmPerson"	"Alias"	"Alias"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPerson, part id=CmPerson-Detail-AliasAllA"	"exact"
"CmPerson"	"DateOfBirth"	"Date of Birth"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPerson, part id=CmPerson-Detail-DateOfBirth"	"exact"
"CmPerson"	"DateOfDeath"	"Date of Death"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPerson, part id=CmPerson-Detail-DateOfDeath"	"exact"
"CmPerson"	"DescriptionAllA"	"Short Description"	""	"slice"	"CmPossibility.fwlayout, layout class=CmPerson type=detail name=default"	"exact"
"CmPerson"	"Discussion"	"Biographical Information"	""	"slice"	"CmPossibility.fwlayout, layout class=CmPerson type=detail name=default"	"exact"
"CmPerson"	"Education"	"Education"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPerson, part id=CmPerson-Detail-Education"	"exact"
