"HcConstruct"	"LoaderMethod"	"Line"	"Field"	"Kinds"	"InScopeClasses"
"(orchestration)"	"Load"	"90"	"Abbreviation"	"basic"	"CmPossibility|CmPossibilityList|FsFeatDefn|FsFeatStrucType|FsSymFeatVal|MoGlossItem|MoInflClass|MoStemName|MoStratum|PhNaturalClass"
"(orchestration)"	"Load"	"92"	"MorphologicalData"	"owning"	"LangProject"
"(orchestration)"	"Load"	"89"	"NaturalClasses"	"owning"	"PhPhonData"
"(orchestration)"	"Load"	"92"	"ParserParameters"	"basic"	"MoMorphData"
"(orchestration)"	"Load"	"85"	"PhonologicalData"	"owning"	"LangProject"
"(orchestration)"	"Load"	"90"	"Text"	""	""
"(orchestration)"	"LoadLanguage"	"172"	"Abbreviation"	"basic"	"CmPossibility|CmPossibilityList|FsFeatDefn|FsFeatStrucType|FsSymFeatVal|MoGlossItem|MoInflClass|MoStemName|MoStratum|PhNaturalClass"
"(orchestration)"	"LoadLanguage"	"299"	"AffixTemplates"	"owning"	"PartOfSpeech"
"(orchestration)"	"LoadLanguage"	"263"	"AlternateForms"	"owning"	"LexEntry"
"(orchestration)"	"LoadLanguage"	"235"	"CompoundRules"	"owning"	"MoMorphData"
"(orchestration)"	"LoadLanguage"	"241"	"Disabled"	"basic"	"MoAdhocProhib|MoCompoundRule|MoInflAffixTemplate|PhSegmentRule"
"(orchestration)"	"LoadLanguage"	"256"	"Entries"	"owning"	"ReversalIndex"
"(orchestration)"	"LoadLanguage"	"342"	"FirstAllomorph"	"rel"	"MoAlloAdhocProhib"
"(orchestration)"	"LoadLanguage"	"348"	"FirstMorpheme"	"rel"	"MoMorphAdhocProhib"
"(orchestration)"	"LoadLanguage"	"173"	"InflectionClasses"	"owning|rel"	"MoAffixForm|PartOfSpeech"
"(orchestration)"	"LoadLanguage"	"256"	"LexDb"	"owning"	"LangProject"
"(orchestration)"	"LoadLanguage"	"263"	"LexemeForm"	"owning"	"LexEntry"
"(orchestration)"	"LoadLanguage"	"180"	"MorphologicalData"	"owning"	"LangProject"
"(orchestration)"	"LoadLanguage"	"270"	"MorphType"	"rel"	"MoForm"
"(orchestration)"	"LoadLanguage"	"196"	"MsFeatureSystem"	"owning"	"LangProject"
"(orchestration)"	"LoadLanguage"	"201"	"NaturalClasses"	"owning"	"PhPhonData"
"(orchestration)"	"LoadLanguage"	"198"	"PhFeatureSystem"	"owning"	"LangProject"
"(orchestration)"	"LoadLanguage"	"204"	"PhonemeSets"	"owning"	"PhPhonData"
"(orchestration)"	"LoadLanguage"	"204"	"PhonologicalData"	"owning"	"LangProject"
