"Class"	"Base"	"Abstract"	"Scope"	"ScopeReason"	"Field"	"Kind"	"Sig"	"Card"
"ChkRef"	"CmObject"	"false"	"out"	"not-domain-reachable"	"KeyWord"	"basic"	"String"	
"ChkRef"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Location"	"basic"	"Integer"	
"ChkRef"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Ref"	"basic"	"Integer"	
"ChkRef"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Rendering"	"rel"	"WfiWordform"	"atomic"
"ChkRef"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Status"	"basic"	"Integer"	
"ChkRendering"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Explanation"	"basic"	"MultiUnicode"	
"ChkRendering"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Meaning"	"rel"	"WfiGloss"	"atomic"
"ChkRendering"	"CmObject"	"false"	"out"	"not-domain-reachable"	"SurfaceForm"	"rel"	"WfiWordform"	"atomic"
"ChkSense"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Explanation"	"basic"	"MultiUnicode"	
"ChkSense"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Sense"	"rel"	"LexSense"	"atomic"
"ChkTerm"	"CmPossibility"	"false"	"out"	"not-domain-reachable"	"Occurrences"	"owning"	"ChkRef"	"seq"
"ChkTerm"	"CmPossibility"	"false"	"out"	"not-domain-reachable"	"Renderings"	"owning"	"ChkRendering"	"col"
"ChkTerm"	"CmPossibility"	"false"	"out"	"not-domain-reachable"	"SeeAlso"	"basic"	"MultiUnicode"	
"ChkTerm"	"CmPossibility"	"false"	"out"	"not-domain-reachable"	"TermId"	"basic"	"Integer"	
"CmAgent"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Approves"	"owning"	"CmAgentEvaluation"	"atomic"
"CmAgent"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Disapproves"	"owning"	"CmAgentEvaluation"	"atomic"
"CmAgent"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Human"	"basic"	"Boolean"	
"CmAgent"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Name"	"basic"	"MultiUnicode"	
"CmAgent"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Notes"	"owning"	"StText"	"atomic"
"CmAgent"	"CmObject"	"false"	"out"	"not-domain-reachable"	"StateInformation"	"basic"	"Unicode"	
"CmAgent"	"CmObject"	"false"	"out"	"not-domain-reachable"	"Version"	"basic"	"Unicode"	
"CmAnnotation"	"CmObject"	"true"	"out"	"not-domain-reachable"	"AnnotationType"	"rel"	"CmAnnotationDefn"	"atomic"
"CmAnnotation"	"CmObject"	"true"	"out"	"not-domain-reachable"	"Comment"	"basic"	"MultiString"	
"CmAnnotation"	"CmObject"	"true"	"out"	"not-domain-reachable"	"CompDetails"	"basic"	"Unicode"	
"CmAnnotation"	"CmObject"	"true"	"out"	"not-domain-reachable"	"DateCreated"	"basic"	"Time"	
"CmAnnotation"	"CmObject"	"true"	"out"	"not-domain-reachable"	"DateModified"	"basic"	"Time"	
"CmAnnotation"	"CmObject"	"true"	"out"	"not-domain-reachable"	"Features"	"owning"	"FsFeatStruc"	"atomic"
"CmAnnotation"	"CmObject"	"true"	"out"	"not-domain-reachable"	"InstanceOf"	"rel"	"CmObject"	"atomic"
